OpenTime,SOL-USD_Open,SOL-USD_High,SOL-USD_Low,SOL-USD_Close,SOL-USD_volume,CloseTime,SOL-QuoteAssetVolume,SOL-NumberOfTrades,SOL-TBBAV,SOL-TBQAV,SOL-ignore,ETH-USD_Open,ETH-USD_High,ETH-USD_Low,ETH-USD_Close,ETH-USD_volume,ETH-QuoteAssetVolume,ETH-NumberOfTrades,ETH-TBBAV,ETH-TBQAV,ETH-ignore,BTC-USD_Open,BTC-USD_High,BTC-USD_Low,BTC-USD_Close,BTC-USD_volume,BTC-QuoteAssetVolume,BTC-NumberOfTrades,BTC-TBBAV,BTC-TBQAV,BTC-ignore
2022-06-05 07:00:00,39.02,39.47,37.85,37.93,278723.47,2022-06-05 08:59:59.999,10791532.67,20821.0,123723.93,4795451.2098,0.0,1804.58,1810.97,1785.39,1786.14,31175.4166,56096560.263042,36982.0,13616.3417,24498457.691948,0.0,29864.03,29897.18,29681.85,29691.74,1645.08168,48971931.6184486,47235.0,694.10895,20665019.748789,0.0
2022-06-05 09:00:00,37.92,38.37,37.86,38.3,120131.47,2022-06-05 10:59:59.999,4583472.8422,10801.0,59001.84,2251203.4643,0.0,1786.14,1798.66,1784.46,1793.85,20361.4654,36490477.78804,24555.0,10356.519,18560583.177602,0.0,29691.73,29819.95,29678.5,29766.95,1066.9434,31766140.6489619,35592.0,492.32174,14655547.4940594,0.0
2022-06-05 11:00:00,38.31,38.76,37.94,38.69,132356.17,2022-06-05 12:59:59.999,5067927.2194,10736.0,70059.16,2683673.4749,0.0,1793.84,1800.0,1786.51,1797.47,16263.1854,29161757.873025,21687.0,8383.8684,15034445.825866,0.0,29766.95,29819.85,29686.0,29793.95,1086.45723,32320160.0035768,35687.0,528.9194,15734887.8280661,0.0
2022-06-05 13:00:00,38.7,39.35,38.52,38.83,485944.75,2022-06-05 14:59:59.999,18938638.0859,24622.0,218086.85,8500089.2545,0.0,1797.47,1797.84,1785.78,1785.82,16844.6406,30212474.121104,20956.0,7866.0357,14107431.532753,0.0,29793.94,29810.2,29645.67,29645.67,1043.03581,31030224.2399913,37923.0,433.48307,12897605.0462717,0.0
2022-06-05 15:00:00,38.82,39.95,38.74,39.44,638777.67,2022-06-05 16:59:59.999,25082288.2512,30890.0,300382.15,11797279.6763,0.0,1785.82,1795.57,1773.05,1781.9,27206.7795,48569550.834113,32737.0,13597.0133,24272442.044226,0.0,29645.68,29738.73,29531.42,29639.46,1775.90883,52647412.2591145,47061.0,900.87407,26712909.8379293,0.0
2022-06-05 17:00:00,39.44,39.96,39.4,39.47,355430.56,2022-06-05 18:59:59.999,14089411.7667,22067.0,167855.03,6660594.8336,0.0,1781.9,1790.34,1776.74,1788.2,20184.2282,35997077.109284,26056.0,10469.102,18671834.151978,0.0,29639.46,29742.13,29588.95,29718.69,1212.15125,35953062.9886906,40544.0,588.67111,17463611.0329003,0.0
2022-06-05 19:00:00,39.46,39.61,38.85,38.95,247777.55,2022-06-05 20:59:59.999,9727344.1569,20395.0,107258.9,4212628.6681,0.0,1788.2,1794.23,1783.0,1784.15,22882.8517,40942942.450305,27988.0,11340.1607,20292625.36177,0.0,29718.69,29780.65,29640.73,29656.46,1073.79633,31906505.1005462,41419.0,536.4564,15940638.5371748,0.0
2022-06-05 21:00:00,38.94,39.86,38.76,39.82,269605.94,2022-06-05 22:59:59.999,10606333.6368,22364.0,155750.9,6132699.3289,0.0,1784.14,1812.84,1780.0,1811.41,43807.5572,78775332.437671,43880.0,24584.6239,44211955.390259,0.0,29656.45,29981.0,29626.65,29972.22,2606.84667,77766098.70715,61185.0,1560.59593,46555395.9380588,0.0
2022-06-05 23:00:00,39.82,40.22,39.21,39.72,309398.49,2022-06-06 00:59:59.999,12273501.4244,25849.0,163500.8,6491593.3514,0.0,1811.42,1829.4,1795.51,1824.56,68256.2378,123779872.595306,69121.0,33958.8526,61579477.896815,0.0,29972.23,30189.0,29761.0,30021.99,5017.66668,150571000.9047778,91294.0,2793.41642,83830331.9906592,0.0
2022-06-06 01:00:00,39.73,39.89,39.28,39.65,134545.51,2022-06-06 02:59:59.999,5323928.483,11570.0,71869.52,2844894.7044,0.0,1824.56,1830.17,1814.87,1821.21,30881.7075,56202383.244206,30020.0,15606.5876,28405462.480215,0.0,30022.0,30100.0,29956.07,30049.86,1649.59768,49519031.8621629,45860.0,844.01963,25336389.7834003,0.0
